Timestamp,hours_of_sleep,gender,ap_classes,ec_hours,grade,ethnicity,Soc_econ_stat,num_siblings,el_12_effect,requirement,AD_Requirement,,
5/17/2024 14:58:21,6,Male,4+,5-10 Hours,Senior,Asian,Medium,2,No Response,UNDER,UNDER,,
5/17/2024 14:58:53,8,Prefer not to say,2-3,0-5 Hours,Sophomore,Asian,Medium,1,No Response,MET,MET,,
5/17/2024 14:59:17,7,Male,4+,0-5 Hours,Sophomore,Asian,High,1,No Response,UNDER,MET,,
5/17/2024 15:08:55,8,Female,2-3,0-5 Hours,Sophomore,Asian,High,1,No/negligible change,MET,MET,,
5/17/2024 15:10:39,7,Prefer not to say,4+,0-5 Hours,Senior,Mixed,Medium,0,Increase,UNDER,MET,,
5/17/2024 15:12:04,7,Female,4+,10-20 Hours,Senior,Prefer not to say,No Response,1,Increase,UNDER,MET,,
5/17/2024 15:15:52,7,Prefer not to say,2-3,0-5 Hours,Junior,White,High,1,No/negligible change,UNDER,MET,,
5/17/2024 15:15:52,7,Male,4+,5-10 Hours,Senior,Other,Medium,0,Increase,UNDER,MET,Male:,44
5/17/2024 15:18:22,8,Male,2-3,10-20 Hours,Junior,White,High,2,Decrease,MET,MET,Female:,35
5/17/2024 15:18:30,6,Female,4+,10-20 Hours,Junior,Asian,High,2,No/negligible change,UNDER,UNDER,Prefer not to say:,8
5/17/2024 15:18:37,5,Male,4+,10-20 Hours,Senior,Asian,High,1,No/negligible change,UNDER,UNDER,,
5/17/2024 15:33:51,7,Male,4+,10-20 Hours,Sophomore,White,Medium,1,Decrease,UNDER,MET,,
5/17/2024 15:54:18,6,Male,4+,10-20 Hours,Senior,Asian,Medium,1,No Response,UNDER,UNDER,,
5/17/2024 15:54:24,8,Male,4+,5-10 Hours,Senior,Other,High,1,No/negligible change,MET,MET,,
5/17/2024 15:56:04,6,Male,2-3,10-20 Hours,Sophomore,White,Medium,3+,Decrease,UNDER,UNDER,,
5/17/2024 16:05:31,7,Male,2-3,5-10 Hours,Senior,Asian,High,0,Increase,UNDER,MET,,
5/17/2024 16:13:19,7,Male,4+,0-5 Hours,Senior,Latino/Latina/Latinx,Medium,1,No/negligible change,UNDER,MET,,
5/17/2024 16:26:26,8,Male,4+,10-20 Hours,Sophomore,Asian,Medium,1,Increase,MET,MET,,
5/17/2024 16:30:25,5,Prefer not to say,4+,10-20 Hours,Senior,Asian,Medium,1,No/negligible change,UNDER,UNDER,,
5/17/2024 16:33:17,7,Male,2-3,20+ Hours,Senior,White,High,0,Increase,UNDER,MET,,
5/17/2024 16:33:19,4,Male,4+,0-5 Hours,Senior,Asian,Low,2,No/negligible change,UNDER,UNDER,,
5/17/2024 16:37:48,7,Male,0-1,10-20 Hours,Sophomore,Mixed,Medium,1,No/negligible change,UNDER,MET,,
5/17/2024 16:45:15,4,Male,4+,5-10 Hours,Senior,Asian,High,1,No/negligible change,UNDER,UNDER,,
5/17/2024 16:53:15,8,Female,2-3,10-20 Hours,Junior,Asian,Medium,1,Decrease,MET,MET,,
5/17/2024 16:55:53,4,Male,4+,20+ Hours,Senior,Asian,High,1,Increase,UNDER,UNDER,,
5/17/2024 17:11:04,6,Prefer not to say,2-3,5-10 Hours,Junior,Asian,Medium,2,No/negligible change,UNDER,UNDER,,
5/17/2024 17:48:23,5,Male,0-1,5-10 Hours,Sophomore,Prefer not to say,No Response,1,No Response,UNDER,UNDER,,
5/17/2024 17:49:52,7,Female,2-3,5-10 Hours,Sophomore,Asian,Medium,2,No/negligible change,UNDER,MET,,
5/17/2024 17:57:44,6,Male,0-1,0-5 Hours,Freshman,Asian,Medium,0,No/negligible change,UNDER,UNDER,,
5/17/2024 18:11:39,7,Male,4+,10-20 Hours,Junior,White,High,1,No/negligible change,UNDER,MET,,
5/17/2024 18:22:37,7,Male,2-3,0-5 Hours,Senior,White,High,2,No/negligible change,UNDER,MET,,
5/17/2024 18:52:42,7,Female,0-1,0-5 Hours,Junior,Asian,Medium,1,Increase,UNDER,MET,,
5/17/2024 19:21:13,5,Female,4+,0-5 Hours,Senior,Asian,Medium,1,No/negligible change,UNDER,UNDER,,
5/17/2024 20:08:54,7,Female,0-1,10-20 Hours,Freshman,Prefer not to say,No Response,,No Response,UNDER,MET,,
5/17/2024 20:17:05,6,Female,0-1,10-20 Hours,Freshman,Mixed,High,2,Decrease,UNDER,UNDER,,
5/17/2024 20:56:35,8,Female,2-3,5-10 Hours,Junior,Mixed,Medium,1,Decrease,MET,MET,,
5/17/2024 21:14:55,8,Male,4+,5-10 Hours,Sophomore,Asian,No Response,1,Increase,MET,MET,,
5/17/2024 21:24:41,5,Male,2-3,5-10 Hours,Sophomore,Asian,Medium,0,No/negligible change,UNDER,UNDER,,
5/17/2024 21:25:13,5,Male,4+,20+ Hours,Senior,White,High,1,No/negligible change,UNDER,UNDER,,
5/18/2024 0:21:49,4,Female,4+,5-10 Hours,Senior,Asian,No Response,,No Response,UNDER,UNDER,,
5/18/2024 9:11:23,5,Male,4+,5-10 Hours,Senior,Asian,Medium,0,Increase,UNDER,UNDER,,
5/18/2024 9:14:50,7,Male,2-3,0-5 Hours,Senior,White,High,1,Increase,UNDER,MET,,
5/18/2024 9:42:25,6,Male,0-1,5-10 Hours,Sophomore,White,High,1,No/negligible change,UNDER,UNDER,,
5/18/2024 12:13:14,4,Female,2-3,0-5 Hours,Sophomore,Asian,Low,2,Increase,UNDER,UNDER,,
5/19/2024 10:57:37,6,Male,4+,10-20 Hours,Junior,Mixed,High,1,No/negligible change,UNDER,UNDER,,
5/19/2024 11:39:58,5,Male,2-3,10-20 Hours,Senior,Asian,Medium,1,No/negligible change,UNDER,UNDER,,
5/19/2024 19:54:25,6,Female,2-3,10-20 Hours,Sophomore,Prefer not to say,High,3+,Decrease,UNDER,UNDER,,
5/20/2024 10:31:42,5,Prefer not to say,4+,20+ Hours,Senior,Mixed,High,1,Decrease,UNDER,UNDER,,
5/20/2024 10:33:45,5,Male,2-3,10-20 Hours,Senior,Mixed,Medium,1,No/negligible change,UNDER,UNDER,,
5/21/2024 13:39:46,5,Male,4+,5-10 Hours,Senior,Asian,Medium,0,Increase,UNDER,UNDER,,
5/22/2024 10:24:33,5,Male,4+,10-20 Hours,Senior,Asian,Medium,1,Decrease,UNDER,UNDER,,
5/22/2024 14:49:08,5,Female,2-3,5-10 Hours,Senior,Asian,No Response,1,No Response,UNDER,UNDER,,
5/22/2024 14:49:16,7,Male,4+,10-20 Hours,Senior,Asian,Medium,0,No/negligible change,UNDER,MET,,
5/22/2024 14:49:22,5,Female,2-3,0-5 Hours,Senior,Asian,High,2,No/negligible change,UNDER,UNDER,,
